text,label,label_text
If you smoke this is a great place my eyes were burning the minute I walked in the door,0,negative
"For a furniture store this place gets a score of zero stars as they don't have any.\n\nAs a home decor store I give it a two, because at least they carry those items, atrocious as they may be to the senses. \n\nWe walked in and right out, as the smell of something (candles? Potpourri? Formaldehyde?) was so overwhelming I had to get out of there ASAP. \n\nMaybe you'll have better luck or not as sensitive of nostrils. Regardless, definitely not a furniture shop.",0,negative
Yelp reviews made this place sound neat. The place has no ventilation . I walked in for 30 seconds and walked right out.  I am pretty sure I got cancer !,0,negative
"Since we received a canned response here on Yelp, we contacted corporate who were appalled at the situation and lack of follow-up by the management in Scottsdale. They apologized profusely and were deeply disgusted about the chimneys being lit on patios, especially around young children. They offered a partial refund,",0,negative
"Vehicles stink because they allow customers to smoke in them! Unless you enjoy the smell of cigarette smoke, pick a different company.",0,negative
"Great atmosphere & delicious drinks, but this place reeks of cigarettes. The stench is overwhelming & is the only reason I probably won't return.",0,negative
"For a furniture store this place gets a score of zero stars as they don't have any.\n\nAs a home decor store I give it a two, because at least they carry those items, atrocious as they may be to the senses. \n\nWe walked in and right out, as the smell of something (candles? Potpourri? Formaldehyde?) was so overwhelming I had to get out of there ASAP. \n\nMaybe you'll have better luck or not as sensitive of nostrils. Regardless, definitely not a furniture shop.",0,negative
check it out I was taking my family and some friends to eat and was finishing smoking my cigarette in the parking lot. I was told I could not smoke on the lot. Won't be eating here again. In Goodyear Az,0,negative
"Stayed here four times over five years. Each time it got worse. Was assigned a smoking room when we specifically asked for nonsmoking. They had a convention and said no other rooms were available. The room stank of smoke, was filfthy dirty with cigarette burns on the furniture, drapes and bedspread.  There were no toiletries. Asked front desk for housekeeping and they never came even after two requests.\nStay away!",0,negative
"From the minute you walk in, it smells like one giant cigarette. I don't want that in my day, so I will never go there again, and neither will those that know me.",0,negative
Needs an extreme makeover - the place is smoky and not worth a try.,0,negative
They added a 250 smoking charge when I don't even smoke.,0,negative
"Went today... Pretty slow but service was terrible. Waited quite a while for my hookah, asked for an extra coal because I was short on time and they don't start it for you. Had to wait another ten minutes while I waited for them to heat the coal on a burner, rather than other places that get it smoking for you and have coals ready out back. I go to lounges for the service, if I wanted to take care of it myself I would just smoke at home. Will not be back.",0,negative
"It is very, very smoky in here. Extremely poor ventilation. The smell stuck to me for hours and we only stopped in for 10 minutes to pick someone up.",0,negative
I was at the joker last night with a good friend of mine.  \nWhen we came in no body said hello so we took a sit.  \nWe waited for 10-15 min for attention. \nThe hookah didn't last long and didn't have a lot of flavor or smoke.  \nWe usually go to a deferent hookah lounge but we were around there so we wanted to try this place.  We didn't like it as we'll because it is sooo loud.,0,negative
